company_inn,company_name,company_ogrn,final_status_label,first_negative_outcome_date,region_code,okved_main,authorized_capital
0238005164,"ООО ""АНЯС""",1060212007437,failed,2022-02-20,2.0,01.50,42520000.0
0250001991,"ООО ""АРГОН""",1020201395037,failed,2024-07-25,2.0,,
0259012885,"ООО ""ЭНЕРГОСЕРВИС""",1130280057786,failed,2023-10-20,2.0,,
0264064720,"ООО ""УК ЖИЛФОНДА С.АМЗЯ""",1120264001813,failed,2023-03-31,2.0,68.32.1,10000.0
0274078739,"ОАО ""ИФЖС""",1020202551192,failed,2023-01-28,2.0,71.12.2,
0274138018,"ООО ""ЕВРОТЭК""",1090280011711,failed,2023-02-03,2.0,46.71,32800000.0
0274174217,"ООО ""СОВЕТНИК""",1130280013148,failed,2024-10-31,2.0,46.90,10000.0
0274177779,"ООО ""СИСТЕМА""",1130280037887,failed,2023-01-29,2.0,41.20,10000.0
0274193146,"ООО ""КОМЕТА""",1140280409422,failed,2022-05-07,2.0,68.20,189220339.0
0275036428,"АО ""РЕГИОНСТРОЙКОМПЛЕКС""",1030204112861,failed,2025-09-05,2.0,71.11.1,
0275079453,"ООО ""ТЖХ""",1120280049196,failed,2025-07-28,2.0,68.32.1,10000.0
0276075275,"ООО ""ИНВИТФАРМ""",1030204215733,failed,2022-11-18,2.0,47.73,15000.0
0276924730,"ООО ""ГРАНД""",1170280049917,failed,2024-05-13,2.0,,
0277033180,"ТСЖ ""АДМИРАЛЪ""",1020203083790,failed,2023-03-09,2.0,68.32.1,
0277119729,"ООО ""КОМПАНЬОН""",1120280004393,failed,2023-07-07,2.0,,
0277127649,"ООО ""ОЖХ ОРДЖОНИКИДЗЕВСКОГО РАЙОНА Г. УФЫ""",1130280012488,failed,2024-02-25,2.0,68.32.1,10000.0
0278157029,"ООО ""СУ-2 ОАО ""ГОССТРОЙ""",1090280008257,failed,2022-10-17,2.0,71.11.1,10000.0
0278213273,"ООО ""НОВЫЙ ГОРОД НЕДВИЖИМОСТЬ""",1140280041670,failed,2022-02-27,2.0,41.20,10000.0
0278910771,"ООО ""ВЫСОТКИ""",1150280067068,failed,2022-03-25,2.0,41.20,10000.0
0309408420,"МУП ЖКХ МО ""КАБАНСКИЙ РАЙОН""",1180327013294,failed,2023-05-18,3.0,35.30.14,63327.0
0323403215,"ООО ""БЭСК""",1180327000952,failed,2022-07-17,3.0,35.12,10000.0
0400007875,"ООО ""АЛТАЙ БАРС""",1180400000901,failed,2023-10-11,4.0,41.20,1000000.0
0725023090,"МУП ""ВОДОКАНАЛ""",1170726005262,failed,2022-02-06,7.0,36.00,100000.0
0726006330,"ООО ""ЛУРДЕС И СК""",1120726001330,failed,2022-12-03,7.0,46.36.2,10000.0
0814142156,"ООО ""ЗАПСИБГАЗМОНТАЖ""",1030800761793,failed,2023-03-08,8.0,43.11,5700000.0
0816037816,"ООО ""АЛЬЯНС-СЕРВИС""",1190816000297,failed,2024-03-05,8.0,68.32,10000.0
0817001548,"ООО ""ВОСХОД""",1140817000323,failed,2022-07-21,8.0,01.11,10000.0
0901051931,"ЖСК ""ВИТЯЗЬ""",1030900726460,failed,2024-10-22,9.0,41.20,580000.0
0917017157,"ООО ""НЕСТЕРТВ""",1100917001745,failed,2022-04-12,9.0,41.20,40000000.0
1001196478,"ООО ""КАРЕЛЭНЕРГОИНВЕСТ""",1071001014039,failed,2022-07-21,10.0,35.30.14,66000000.0
1011011454,"ООО ""РЦ ВОДОКАНАЛ""",1161001064510,failed,2025-10-20,10.0,36.00,10000.0
1101041968,"ООО ""ГЖЭК""",1041100422560,failed,2022-06-04,11.0,41.2,10000.0
1101088003,"ООО УК ""ЖИЛВЕСТ""",1111101004959,failed,2025-11-24,11.0,68.32.1,10000.0
1101137243,"ООО ""УК""РЭКОН""",1081101004335,failed,2023-03-23,11.0,68.32.1,10000.0
1102044760,"ООО ""ТРАНССТРОЙСЕРВИС""",1041100600518,failed,2023-02-02,11.0,42.99,15000000.0
1102075085,"ООО ""АИСТ""",1141102001061,failed,2022-04-07,11.0,35.30,10000.0
1103012627,"ООО ""ЖЭУ-8""",1141103000972,failed,2025-12-29,11.0,68.32.1,10000.0
1105013739,"ООО ""СТРОЙТЕХНОЛОГИЯ""",1021100875707,failed,2024-10-17,11.0,41.20,
1105024586,"ООО ""УЕЗД""",1181101001674,failed,2022-09-18,11.0,68.32.1,20000.0
1106014799,"ООО ""СТАНДАРТ-2""",1021100896442,failed,2022-02-03,11.0,41.20,19900.0
1116004398,ЕМВИНСКОЕ ПО,1021101067723,failed,2022-10-01,11.0,56.29,
1215128210,"ООО ""РЕНОВА""",1081215000756,failed,2024-05-06,12.0,46.4,11000.0
1215172259,"ООО ""ДСК №5""",1131215003523,failed,2022-01-19,12.0,41.2,10000.0
1308037397,ФГУП СМУ-13 ФСИН РОССИИ,1021300659005,failed,2023-09-04,13.0,41.20,
1322001385,"ООО ""КОЛОС""",1181326004309,failed,2023-05-04,13.0,01.11,10000.0
1324001800,"ООО ""СМУ №1""",1161324050051,failed,2022-05-22,13.0,41.20,10000.0
1326026535,"ОАО ""ЛАМЗУРЬ""",1021300982955,failed,2023-11-30,13.0,10.82.2,
1327157731,"МП Г.О. САРАНСК ""ПРОЛЕТАРСКОЕ ЖРСУ""",1041318004177,failed,2022-06-19,13.0,81.29.9,1000000.0
1415010696,"СППК ММК ""МАЙА""",1071415000051,failed,2022-06-16,14.0,10.5,4206000.0
1435277835,"ООО ""ТРАМП""",1141447002630,failed,2023-03-13,14.0,68.20,2500000.0
1511000933,МУПВКХ,1021500944475,failed,2023-04-09,15.0,68.20.29,270000.0
1516620472,"МУП ""ВИРЦ""",1091516001763,failed,2022-03-27,15.0,63.11,100000.0
1629005510,"ООО ""ОГ""",1151651000764,failed,2025-02-28,16.0,,
1643016591,"ООО ""МИЛКВИЛЬ""",1201600055140,failed,2023-03-09,16.0,10.51,100000.0
1644049590,"ООО ""ИЦ ""ГАММА""",1151644001090,failed,2023-01-31,16.0,71.11,20000.0
1650121597,"ООО ""ПРОМТОРГСЕРВИС""",1041616069274,failed,2022-11-20,16.0,46.32,10000.0
1651075897,"ООО ""УК ""МОЙ ДОМ КАМСКИХ ПОЛЯН""",1151651003294,failed,2023-04-14,16.0,68.32.1,10000.0
1656028379,"ТСЖ ""ПРИВОКЗАЛЬНАЯ 6""",1041624006038,failed,2025-02-10,16.0,68.32.1,0.0
1656036490,"ООО ""ТЕПЛОПРОГРЕСС""",1061656044537,failed,2024-03-21,16.0,71.11.1,10012000.0
1658192913,"ООО ""МЕГАЛИТ""",1161690132240,failed,2023-06-08,16.0,23.63,10000.0
1659212418,"ООО ""ГРАНД-ПОЛИМЕР""",1201600089987,failed,2023-06-16,16.0,41.20,100000.0
1660245094,"ООО ""Водопад""",1151690047123,failed,2022-03-03,16.0,,
1701057550,"МУП ""КЫЗЫЛГОРТРАНС""",1161719050877,failed,2023-02-01,17.0,49.31.21,617287.0
1828025599,"ЗАО ""ТСК ""ВОТКИНСКИЙ ЗАВОД""",1141828000710,failed,2022-10-01,18.0,35.30.2,2000000.0
1831005666,"ООО ""АКВАНТ""",1021801590524,failed,2024-04-03,18.0,35.30.4,300000.0
1831079690,"ООО ""УНИВЕРСАЛ - СТРОЙ""",1021801168311,failed,2023-03-17,18.0,41.20,15000.0
1831149019,"ООО ""МИЛАН""",1111831011357,failed,2022-02-14,18.0,68.20.2,314650000.0
1832081275,"ООО ""ИЖАГРОПРОМ""",1101832000709,failed,2022-05-05,18.0,46.33,15000.0
1832088062,"ООО ""ТРЕК""",1111832001159,failed,2023-04-02,18.0,42.12,10000.0
1832089228,ООО «Торговый дом «Дебесский мясокомбинат»,1111832002006,failed,2024-10-28,18.0,46.90,10000.0
1832103017,"ООО ""СТРОЙПАРТНЕР""",1121832006042,failed,2022-02-07,18.0,41.2,10000.0
1832155520,ООО «ГАРАНТКОМПЛЕКТ»,1201800000445,failed,2023-03-24,18.0,46.73,10000.0
1834034190,"ТСН ""УЮТНЫЙ ДОМ""",1051801772021,failed,2023-01-31,18.0,68.32.1,
1838009902,"ООО ПКП ""ДЫМОФФ""",1111838002022,failed,2025-07-17,18.0,25.11,10000.0
1840038019,"ООО ""ГОРОДСКАЯ УК""",1151840003480,failed,2024-01-04,18.0,68.32.1,10000.0
1840075469,"ООО ""МАГИСТРАЛЬ""",1171832027102,failed,2023-11-13,18.0,42.11,100000.0
