company_inn,profile_headcount
0105070799,4.0
0105071792,6.0
0105072919,21.0
0107019540,104.0
0107023995,20.0
0212007230,0.0
0238005164,1.0
0242007975,10.0
0245021015,141.0
0254011207,36.0
0254013028,0.0
0257009598,1.0
0258006141,9.0
0264064720,0.0
0266030250,8.0
0268038463,1.0
0268047852,82.0
0268065570,21.0
0268069831,76.0
0268074743,16.0
0268086379,1.0
0273072607,105.0
0273085652,32.0
0274109779,31.0
0274134077,10.0
0274138018,3.0
0274144861,3751.0
0274167192,0.0
0274167428,4.0
0274177779,0.0
0274193146,0.0
0274903131,7.0
0274918836,16.0
0274934034,19.0
0274941480,1.0
0275047571,10.0
0275905646,19.0
0275910815,24.0
0276905818,0.0
0276969145,9.0
0277015293,82.0
0277028260,4.0
0277095958,30.0
0277126959,14.0
0277127649,2.0
0277943943,0.0
0278030985,7506.0
0278100590,65.0
0278157029,2.0
0278164918,2.0
0278186125,0.0
0278206565,1.0
0278213273,0.0
0278909712,11.0
0278910771,1.0
0278914889,2.0
0278917689,2.0
0278936762,7.0
0307035148,54.0
0323375342,1.0
0326538891,11.0
0326562615,0.0
0560038825,3.0
0716004729,4.0
0716007102,1.0
0716008628,75.0
0721056793,1.0
0725002140,13.0
0726022981,0.0
0814142156,0.0
0816008251,281.0
0817001548,1.0
0912000329,1.0
0917017157,0.0
0917028247,2.0
0917036953,0.0
1001012875,276.0
1001196478,1.0
1001337954,2.0
1101137243,0.0
1101154432,3.0
1101164166,0.0
1101205944,568.0
1102044760,1.0
1102055018,387.0
1102075085,0.0
1103012627,0.0
1103034684,1.0
1103044869,1.0
1103044876,0.0
1103045372,0.0
1103045728,0.0
1103045767,0.0
1103045848,3.0
1103046552,2.0
1103046560,2.0
1103046859,0.0
1103047115,0.0
1105015581,165.0
1105024586,0.0
1106014799,0.0
1109014099,164.0
1109015208,34.0
1117005242,288.0
1215013080,71.0
1215172259,0.0
1216021982,0.0
1322001385,0.0
1324001800,0.0
1324133676,9.0
1326026535,2.0
1326192645,396.0
1326223893,37.0
1326231326,1.0
1326234101,25.0
1326248369,2.0
1326256627,13.0
1327019932,32.0
1327032901,0.0
1327035902,37.0
1328009253,9.0
1328017021,6.0
1328904496,116.0
1400004509,8.0
1402023698,1.0
1402024860,2.0
1402025247,1.0
1435009473,1.0
1435142965,1.0
1435191592,1898.0
1435241490,1.0
