company_inn,company_name,company_ogrn,final_status_label,first_negative_outcome_date,episode_peak_month,peak_stress_score,episode_total_events,episode_total_cases,company_registration_year,region_code,okved_main,authorized_capital
0238005164,"ООО ""АНЯС""",1060212007437,failed,2022-02-20,2022-06-01,1.0,1.0,1.0,2006.0,2,01.50,42520000.0
0245027458,"ООО ""Чудо-печка""",1140280067476,failed,2020-03-15,2020-03-01,2.0,2.0,1.0,2014.0,2,10.71,10000.0
0250001991,"ООО ""АРГОН""",1020201395037,failed,2024-07-25,2022-01-01,1.0,1.0,1.0,2002.0,2,,
0256019089,"ООО ""БЕЛОРЕЦКИЙ МАСЛОСЫРКОМБИНАТ""",1070256001298,failed,2020-07-05,2020-06-01,2.0,2.0,1.0,2007.0,2,10.51,10000.0
0259012885,"ООО ""ЭНЕРГОСЕРВИС""",1130280057786,failed,2023-10-20,2020-09-01,2.0,2.0,1.0,2013.0,2,,
0262019810,ООО Торговый дом «Нефтемаш-Альянс»,1140280042902,failed,2020-03-12,2020-02-01,1.0,1.0,1.0,2014.0,2,25.29,10000.0
0264064720,"ООО ""УК ЖИЛФОНДА С.АМЗЯ""",1120264001813,failed,2023-03-31,2019-12-01,1.0,1.0,1.0,2012.0,2,68.32.1,10000.0
0266040876,"ООО ""СУ №7""",1130280037095,failed,2021-02-08,2020-08-01,2.0,2.0,1.0,2013.0,2,41.20,10000.0
0273080460,"ООО ""НПМ""",1100280036460,failed,2020-02-16,2024-06-01,1.0,1.0,1.0,2010.0,2,82.11,10000.0
0273903636,"ООО ""УФА-1 ВНЗМ""",1150280054913,failed,2021-04-08,2020-02-01,2.0,3.0,2.0,2015.0,2,43.99.5,1000000.0
0274078739,"ОАО ""ИФЖС""",1020202551192,failed,2023-01-28,2023-12-01,1.0,1.0,1.0,2002.0,2,71.12.2,
0274091458,"ООО ""УК ""ЖИЛСЕРВИС""",1030203927500,failed,2025-08-14,2024-06-01,1.0,1.0,1.0,2003.0,2,,
0274138018,"ООО ""ЕВРОТЭК""",1090280011711,failed,2023-02-03,2025-02-01,2.0,3.0,2.0,2009.0,2,46.71,32800000.0
0274174217,"ООО ""СОВЕТНИК""",1130280013148,failed,2024-10-31,2025-03-01,1.0,1.0,1.0,2013.0,2,46.90,10000.0
0274177779,"ООО ""СИСТЕМА""",1130280037887,failed,2023-01-29,2021-07-01,1.0,1.0,1.0,2013.0,2,41.20,10000.0
